名前,緯度,経度,郵便番号,都道府県,市区町村,街区,番地,建物名,住所,Google Map URL,口コミ点数,口コミ件数,営業開始時刻(日・時),営業開始時刻(日・分),営業終了時刻(日・時),営業終了時刻(日・分),営業開始時刻(月・時),営業開始時刻(月・分),営業終了時刻(月・時),営業終了時刻(月・分),営業開始時刻(火・時),営業開始時刻(火・分),営業終了時刻(火・時),営業終了時刻(火・分),営業開始時刻(水・時),営業開始時刻(水・分),営業終了時刻(水・時),営業終了時刻(水・分),営業開始時刻(木・時),営業開始時刻(木・分),営業終了時刻(木・時),営業終了時刻(木・分),営業開始時刻(金・時),営業開始時刻(金・分),営業終了時刻(金・時),営業終了時刻(金・分),営業開始時刻(土・時),営業開始時刻(土・分),営業終了時刻(土・時),営業終了時刻(土・分)
讃岐手打ちうどん まごころ,133.781841,34.295413,〒763-0062,香川県,丸亀市,蓬莱町,５５−３,,〒763-0062 香川県 丸亀市 蓬莱町 ５５−３,https://goo.gl/maps/j5MYrRExH6vLUe5i6,3.8,844,6,00,15,30,6,00,15,30,6,00,15,30,6,00,15,30,6,00,15,30,6,00,15,30,6,00,15,30
八十八庵,134.206664,34.190154,〒769-2306,香川県,さぬき市,多和兼割,９３−１,,〒769-2306 香川県 さぬき市 多和兼割 ９３−１,https://goo.gl/maps/rj4yJx9wygZvpEaa7,4.1,405,8,00,16,30,8,00,16,30,8,00,16,30,8,00,16,30,8,00,16,30,8,00,16,30,8,00,16,30
讃岐うどん 愉楽家 林店,134.073533,34.30207,〒761-0301,香川県,高松市,林町,１４８１−１,,〒761-0301 香川県 高松市 林町 １４８１−１,https://goo.gl/maps/iE1VVkvnfU2Zyuuh8,3.8,576,10,00,17,00,10,00,17,00,10,00,17,00,10,00,17,00,10,00,17,00,10,00,17,00,10,00,17,00
手打ちうどん てっちゃん,133.888846,34.315932,〒762-0021,香川県,坂出市,西庄町,５７８−３,,〒762-0021 香川県 坂出市 西庄町 ５７８−３,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
讃岐うどん 空海房,134.029493,34.228775,〒761-1401,香川県,高松市,香南町岡,１９９,,〒761-1401 香川県 高松市 香南町岡 １９９,https://goo.gl/maps/Pkn3EDQGri7G2PrD7,3.7,860,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00
本場讃岐うどんたも屋 高松女道場,134.049523,34.340578,〒760-0051,香川県,高松市,南新町,１１−９,南新町ビル1Ｆ,〒760-0051 香川県 高松市 南新町 １１−９ 南新町 ビル 1Ｆ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRAKAWA,133.718973,34.123121,〒768-0102,香川県,三豊市,山本町大野,２８５４−８,,〒768-0102 香川県 三豊市 山本町大野 ２８５４−８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上杉食品,133.714982,34.143509,〒769-1504,香川県,三豊市,豊中町上高野,２７９１,,〒769-1504 香川県 三豊市 豊中町上高野 ２７９１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手打ちうどん 上田,134.046254,34.300035,〒761-8074,香川県,高松市,太田上町,７９８−１５,,〒761-8074 香川県 高松市 太田上町 ７９８−１５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
竜雲,134.046954,34.272768,〒761-8078,香川県,高松市,仏生山町甲,３２０７−２,,〒761-8078 香川県 高松市 仏生山町甲 ３２０７−２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
讃岐つけ麺 寒川,134.048842,34.342881,〒760-0028,香川県,高松市,鍛冶屋町,４−１６,,〒760-0028 香川県 高松市 鍛冶屋町 ４−１６,https://goo.gl/maps/RoGHJReLmPoHYcd37,4.3,237,定休日,,,,定休日,,,,18,00,1,30,18,00,1,30,18,00,1,30,18,00,1,30,18,00,1,30
うどん 飯野屋,133.827718,34.280918,〒763-0084,香川県,丸亀市,飯野町東二,１８８８−１,,〒763-0084 香川県 丸亀市 飯野町東二 １８８８−１,https://goo.gl/maps/gtfZWpuV3d5jkkQ99,3.9,418,10,00,15,00,定休日,,,,10,00,15,00,10,00,15,00,10,00,15,00,10,00,15,00,10,00,15,00
将八うどん 観音寺本店,133.674378,34.116543,〒768-0011,香川県,観音寺市,出作町,４１７,,〒768-0011 香川県 観音寺市 出作町 ４１７,https://goo.gl/maps/ZLhMHFNHeDxRwtAB6,3.5,414,9,00,20,00,9,00,20,00,9,00,20,00,9,00,20,00,9,00,20,00,9,00,20,00,9,00,20,00
ヨコクラうどん,133.989149,34.315342,〒761-8026,香川県,高松市,鬼無町鬼無,１３６−１,,〒761-8026 香川県 高松市 鬼無町鬼無 １３６−１,https://goo.gl/maps/Aacz8cu42KVvr5ceA,4.2,582,8,00,14,00,8,00,14,00,8,00,14,00,8,00,14,00,定休日,,,,8,00,14,00,8,00,14,00
手織りうどん 滝音,134.138806,34.252922,〒761-0613,香川県,木田郡三木町,上高岡,２６６−１,,〒761-0613 香川県 木田郡三木町 上高岡 ２６６−１,https://goo.gl/maps/WmARpbd5ZnZwDQc1A,4.2,897,10,00,15,00,定休日,,,,10,00,15,00,10,00,15,00,10,00,15,00,10,00,15,00,10,00,15,00
さか枝うどん 南新町店,134.049085,34.340199,〒760-0051,香川県,高松市,南新町,４−６,,〒760-0051 香川県 高松市 南新町 ４−６,https://goo.gl/maps/73eEQfkB62wLxJhg9,3.8,764,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00
かしむらうどん,134.089492,34.350673,〒761-0113,香川県,高松市,屋島西町,２４８５−１２,,〒761-0113 香川県 高松市 屋島西町 ２４８５−１２,https://goo.gl/maps/KS58ryMCG8VNuXVR8,4.1,224,11,00,15,00,11,00,15,00,定休日,,,,11,00,15,00,11,00,15,00,11,00,15,00,11,00,15,00
手打ちうどん 清水屋,134.010769,34.295555,〒761-8081,香川県,高松市,成合町,８,,〒761-8081 香川県 高松市 成合町 ８,https://goo.gl/maps/cSQvAMihPvfYcjDX8,4.1,462,定休日,,,,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00
かしむらうどん,134.089492,34.350673,〒761-0113,香川県,高松市,屋島西町,２４８５−１２,,〒761-0113 香川県 高松市 屋島西町 ２４８５−１２,https://goo.gl/maps/KS58ryMCG8VNuXVR8,4.1,224,11,00,15,00,11,00,15,00,定休日,,,,11,00,15,00,11,00,15,00,11,00,15,00,11,00,15,00
郷屋敷,134.135855,34.330395,〒761-0122,香川県,高松市,牟礼町大町,１９８７,,〒761-0122 香川県 高松市 牟礼町大町 １９８７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手打ちうどん 歩,133.836282,34.265061,〒763-0084,香川県,丸亀市,飯野町東二,４８４,,〒763-0084 香川県 丸亀市 飯野町東二 ４８４,https://goo.gl/maps/BJjr7MsfmuT9Yj54A,4.2,679,10,30,15,00,10,30,15,00,定休日,,,,10,30,15,00,10,30,15,00,10,30,15,00,10,30,15,00
大島うどん,134.041835,34.30224,〒761-8074,香川県,高松市,太田上町,１０５８,,〒761-8074 香川県 高松市 太田上町 １０５８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
かすが町市場,134.09114,34.322967,〒761-0101,香川県,高松市,春日町,４５３−１,,〒761-0101 香川県 高松市 春日町 ４５３−１,https://goo.gl/maps/bQCXCCpvw3VTcBoB6,3.7,698,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00
やな川うどん 本店,133.647348,34.128517,〒768-0060,香川県,観音寺市,観音寺町甲,２８１４,,〒768-0060 香川県 観音寺市 観音寺町甲 ２８１４,https://goo.gl/maps/db9FvxVTm8yDCN9S7,4.0,407,8,00,15,00,8,00,15,00,8,00,15,00,8,00,15,00,定休日,,,,8,00,15,00,8,00,15,00
合田うどん,133.63964,34.070472,〒769-1611,香川県,観音寺市,豊浜町和田甲,２４５–１,,〒769-1611 香川県 観音寺市 豊浜町和田甲 ２４５–１,https://goo.gl/maps/vVDrMCWnvH6214NU9,3.9,218,11,00,14,00,定休日,,,,11,00,14,00,11,00,14,00,11,00,14,00,11,00,14,00,11,00,14,00
うどん武蔵,133.61151,34.04411,〒769-1604,香川県,観音寺市,豊浜町箕浦甲,３４１－１,,〒769-1604 香川県 観音寺市 豊浜町箕浦甲 ３４１－１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あづまうどん,134.122037,34.298832,〒761-0322,香川県,高松市,前田東町,３４０−１,,〒761-0322 香川県 高松市 前田東町 ３４０−１,https://goo.gl/maps/9NRrVgo6wx9PHirA7,4.2,748,11,00,14,00,11,00,14,00,11,00,14,00,定休日,,,,11,00,14,00,11,00,14,00,11,00,14,00
手打ちうどん 渡辺,133.717203,34.179416,〒767-0011,香川県,三豊市,高瀬町下勝間,２５５２,,〒767-0011 香川県 三豊市 高瀬町下勝間 ２５５２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
はやし家製麺所 高松空港店,134.01869,34.218769,〒761-1401,香川県,高松市,香南町岡,１３１２−７,,〒761-1401 香川県 高松市 香南町岡 １３１２−７,https://goo.gl/maps/yUcoHH4HKP5ksnoi6,3.3,202,8,30,15,00,8,30,15,00,8,30,15,00,8,30,15,00,8,30,15,00,8,30,15,00,8,30,15,00
こだわり麺や 高松店,134.044647,34.340099,〒760-0018,香川県,高松市,天神前,５−２５,,〒760-0018 香川県 高松市 天神前 ５−２５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あなぶき家 上りSA,134.264257,34.276983,〒769-2402,香川県,さぬき市,津田町鶴羽,９３５−５,,〒769-2402 香川県 さぬき市 津田町鶴羽 ９３５−５,https://goo.gl/maps/sN6Yzcf9L8ut3DNo8,3.5,253,8,00,21,00,10,00,21,00,10,00,21,00,10,00,21,00,10,00,21,00,10,00,21,00,8,00,21,00
めんや七福 本店,134.044257,34.338354,〒760-0018,香川県,高松市,天神前,６−１０,,〒760-0018 香川県 高松市 天神前 ６−１０,https://goo.gl/maps/hqpEVBvywpZHAx569,4.0,192,定休日,,,,10,00,14,30,10,00,14,30,10,00,14,30,10,00,14,30,10,00,14,30,10,00,14,30
県内屈指の男麺 セルフうどん のぶや,134.019616,34.238449,〒761-1402,香川県,高松市,香南町由佐,１９２−１,,〒761-1402 香川県 高松市 香南町由佐 １９２−１,https://goo.gl/maps/X3R1aWyXpCJYzad4A,4.1,504,11,00,14,00,11,00,14,00,定休日,,,,11,00,14,00,11,00,14,00,11,00,15,00,11,00,15,00
こだわり八輻(はちや),133.772244,34.224817,〒765-0004,香川県,善通寺市,善通寺町,１０５９−１,,〒765-0004 香川県 善通寺市 善通寺町 １０５９−１,https://goo.gl/maps/MpVC9Wh8hNv6brdS6,4.3,503,10,00,14,00,10,00,14,00,定休日,,,,10,00,14,00,10,00,14,00,定休日,,,,10,00,14,00
さぬき麺業 兵庫町本店,134.049439,34.346062,〒760-0024,香川県,高松市,兵庫町,１１−９,,〒760-0024 香川県 高松市 兵庫町 １１−９,https://goo.gl/maps/vipR7TAzR54T2pny9,3.8,338,11,00,20,30,11,00,20,30,11,00,20,30,11,00,20,30,11,00,20,30,11,00,20,30,11,00,20,30
誠うどん,134.041505,34.336166,〒760-0006,香川県,高松市,亀岡町,１７−１４,,〒760-0006 香川県 高松市 亀岡町 １７−１４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
うどん処 しんせい 2号店,134.067834,34.327598,〒760-0077,香川県,高松市,上福岡町,８８０−１,,〒760-0077 香川県 高松市 上福岡町 ８８０−１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
讃岐うどん 麺賊,133.782305,34.227431,〒765-0011,香川県,善通寺市,上吉田町,３丁目３−２４,,〒765-0011 香川県 善通寺市 上吉田町 ３丁目３−２４,https://goo.gl/maps/U5ZCLSkK5o3FQfjs9,3.8,325,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,定休日,,,,6,30,15,00
セルフうどん おかだ,133.833273,34.264436,〒763-0084,香川県,丸亀市,飯野町東二,６２３−１,,〒763-0084 香川県 丸亀市 飯野町東二 ６２３−１,https://goo.gl/maps/4XVc2jEdJXbk6V1HA,4.1,765,定休日,,,,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00,定休日,,,
かなくま餅福田,133.672774,34.13908,〒768-0014,香川県,観音寺市,流岡町,１４３６−２,,〒768-0014 香川県 観音寺市 流岡町 １４３６−２,https://goo.gl/maps/MazZbiyHN1FoKUf27,4.2,650,10,00,14,00,定休日,,,,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00
いきいきうどん 坂出店,133.858721,34.318267,〒762-0001,香川県,坂出市,京町,３丁目７−１３６１−１,,〒762-0001 香川県 坂出市 京町 ３丁目７−１３６１−１,https://goo.gl/maps/9QUekz8fRQJuYabXA,3.5,786,5,00,15,30,5,00,15,30,5,00,15,30,5,00,15,30,5,00,15,30,5,00,15,30,5,00,15,30
上野製麺所,134.017172,34.286247,〒761-8044,香川県,高松市,円座町,２２８９−３,,〒761-8044 香川県 高松市 円座町 ２２８９−３,https://goo.gl/maps/DSxWy6ntF9CQ9GP49,4.0,105,定休日,,,,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00
セルフうどん 天狗,134.098944,34.282449,〒761-0431,香川県,高松市,小村町,１６８−１,,〒761-0431 香川県 高松市 小村町 １６８−１,https://goo.gl/maps/1uBDtD6NQT4sYyGT7,3.6,528,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00
讃岐うどん 本格手打 麺の蔵,133.814335,34.235924,〒765-0040,香川県,善通寺市,与北町,１０１４−４,,〒765-0040 香川県 善通寺市 与北町 １０１４−４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手打ちうどん まいどまいど,133.854056,34.282729,〒762-0025,香川県,坂出市,川津町,４５−１,,〒762-0025 香川県 坂出市 川津町 ４５−１,https://goo.gl/maps/6y6LaS88GEhJz3gv7,4.0,332,10,00,14,30,定休日,,,,10,00,14,30,10,00,14,30,10,00,14,30,10,00,14,30,10,00,14,30
まえばうどん,133.882443,34.235667,〒761-2406,香川県,丸亀市,綾歌町栗熊東,４２０−２,,〒761-2406 香川県 丸亀市 綾歌町栗熊東 ４２０−２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本格手打ちうどん 香川屋本店,133.885575,34.235003,〒761-2406,香川県,丸亀市,綾歌町栗熊東,４６９−１,,〒761-2406 香川県 丸亀市 綾歌町栗熊東 ４６９−１,https://goo.gl/maps/XKv1x2yZf1mh1USK9,3.9,816,10,00,16,00,10,00,16,00,定休日,,,,10,00,16,00,10,00,16,00,10,00,16,00,10,00,16,00
うどん てら屋 檀紙店,133.99671,34.303256,〒761-8041,香川県,高松市,檀紙町,８５１−１,,〒761-8041 香川県 高松市 檀紙町 ８５１−１,https://goo.gl/maps/Mxx5xGBcDJm22uEp6,3.9,510,9,00,16,00,定休日,,,,9,00,16,00,9,00,16,00,9,00,16,00,9,00,16,00,9,00,14,00
本格手打ちうどん あかみち,133.797985,34.265913,〒765-0040,香川県,善通寺市,与北町,１０１４−４,,〒765-0040 香川県 善通寺市 与北町 １０１４−４,https://goo.gl/maps/rxXNAHP59xmAWGXv6,4.1,467,10,00,15,00,定休日,,,,10,00,15,00,10,00,15,00,10,00,15,00,10,00,15,00,10,00,15,00
根っこ 三谷店,134.076124,34.277306,〒761-0450,香川県,高松市,三谷町,２７０−２,,〒761-0450 香川県 高松市 三谷町 ２７０−２,https://goo.gl/maps/6jKf89Dh2Q8cUJcE8,3.7,410,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00
うどん市場 めんくい,134.054943,34.340469,〒760-0047,香川県,高松市,塩屋町,９−７,,〒760-0047 香川県 高松市 塩屋町 ９−７,https://goo.gl/maps/nehJC8rb1dX2d14ZA,4.1,148,11,00,14,00,11,00,15,00,11,00,15,00,11,00,15,00,11,00,15,00,11,00,15,00,11,00,14,00
麺工房六車,134.350168,34.2463,〒769-2701,香川県,東かがわ市,湊,６−１,,〒769-2701 香川県 東かがわ市 湊 ６−１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こだわり麺や 坂出鴨川店,133.911743,34.304785,〒762-0023,香川県,坂出市,加茂町,５３０,,〒762-0023 香川県 坂出市 加茂町 ５３０,https://goo.gl/maps/1GQKUjjHb7sQQeuc9,3.8,798,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00
大喜多うどん,133.689782,34.115837,〒768-0031,香川県,観音寺市,池之尻町,７１８,,〒768-0031 香川県 観音寺市 池之尻町 ７１８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
讃岐うどん めんや七福 別邸,133.850019,34.295183,〒762-0025,香川県,坂出市,川津町,３３５５−２,,〒762-0025 香川県 坂出市 川津町 ３３５５−２,https://goo.gl/maps/7JqVo6qgZzTPDBEq5,4.0,534,10,00,15,00,10,00,15,00,10,00,15,00,定休日,,,,10,00,15,00,10,00,15,00,10,00,15,00
手打ちうどん むさし,133.828688,34.18988,〒766-0003,香川県,仲多度郡琴平町,五條,６３７−２,,〒766-0003 香川県 仲多度郡琴平町 五條 ６３７−２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
架け橋 夢うどん,133.815681,34.385256,〒762-0071,香川県,坂出市,与島町,５８７,,〒762-0071 香川県 坂出市 与島町 ５８７,https://goo.gl/maps/L9f3wCGnoBR2E47z5,3.7,179,10,00,17,00,10,00,16,00,10,00,16,00,10,00,16,00,10,00,16,00,10,00,16,00,10,00,17,00
